id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
297,"@aris7152","Kenapa sih pada ngatain slow aja mungkin anak nya lagi minta zet pribadi tau sendirikan anak anak pejabat itu seperti apa kayak yang udh viral pasti ga beda jauh kelakuannya","UgxSoJoxYc2ndxJZ0-R4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgxSoJoxYc2ndxJZ0-R4AaABAg","2024-04-29 10:34:44",0,"Kenapa sih pada ngatain slow aja mungkin anak nya lagi minta zet pribadi tau sendirikan anak anak pejabat itu seperti apa kayak yang udh viral pasti ga beda jauh kelakuannya","http://www.youtube.com/@aris7152",
298,"@karaekonadarendah2840","Ok gasss.., Jogetin saja., bawa ke disco","UgxHeom74-KQj-dtUq14AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgxHeom74-KQj-dtUq14AaABAg","2024-04-29 10:34:33",0,"Ok gasss.., Jogetin saja., bawa ke disco","http://www.youtube.com/@karaekonadarendah2840",
299,"@nimatulmaula79465","Bea cukai dikejar target buat bayar hutang negara","UgzsHkfU0d1TFpQfD-Z4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgzsHkfU0d1TFpQfD-Z4AaABAg","2024-04-29 10:34:09",0,"Bea cukai dikejar target buat bayar hutang negara","http://www.youtube.com/@nimatulmaula79465",
300,"@chandrairawan9738","Setelah Fitri di bln Ramadhan,mari beramai2 bikin dosa lg. Tahun depan selalu ada bln Ramadhan dimn semua dosa di bersihkan/Fitri kan lg. Mari kita umat muslim jngn pny pola pikir yg salah dlm memaknai FITRI di bln Ramadhan😭😭🙏🙏","UgxR923D4Ej8XCPXkvt4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgxR923D4Ej8XCPXkvt4AaABAg","2024-04-29 10:34:04",0,"Setelah Fitri di bln Ramadhan,mari beramai2 bikin dosa lg. Tahun depan selalu ada bln Ramadhan dimn semua dosa di bersihkan/Fitri kan lg. Mari kita umat muslim jngn pny pola pikir yg salah dlm memaknai FITRI di bln Ramadhan😭😭🙏🙏","http://www.youtube.com/@chandrairawan9738",
301,"@EkaTjahjanto-kb1cw","Bea Cukai paraaaahhhh rusaknya .....","UgxU2Sc7AH77O2CHDQ94AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgxU2Sc7AH77O2CHDQ94AaABAg","2024-04-29 10:33:43",0,"Bea Cukai paraaaahhhh rusaknya .....","http://www.youtube.com/@EkaTjahjanto-kb1cw",
302,"@afbyuuki6306","Bea cukai peras uang 😂","UgxHDC_JzwnkzaqqwVt4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgxHDC_JzwnkzaqqwVt4AaABAg","2024-04-29 10:33:31",0,"Bea cukai peras uang 😂","http://www.youtube.com/@afbyuuki6306",
303,"@hellboy8726","Harus dikecualikan lahh, masa iya barang hibah apalagi itu kan untuk SLB masa pajaknya disamakan., Benar2 parah ini bea cukai","Ugz2T0eATHSgXvrNy7d4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=Ugz2T0eATHSgXvrNy7d4AaABAg","2024-04-29 10:32:33",0,"Harus dikecualikan lahh, masa iya barang hibah apalagi itu kan untuk SLB masa pajaknya disamakan., Benar2 parah ini bea cukai","http://www.youtube.com/@hellboy8726",
304,"@PahayuJaya-zv1zx","Usut bea cukai","UgyeBUz5UlMF3zZk3Gd4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgyeBUz5UlMF3zZk3Gd4AaABAg","2024-04-29 10:32:25",0,"Usut bea cukai","http://www.youtube.com/@PahayuJaya-zv1zx",
305,"@MuchlasBagus-ei1zb","Ben kualat beacukai imigrasi sak kantore","UgxJJkDNQBTNR19w50R4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgxJJkDNQBTNR19w50R4AaABAg","2024-04-29 10:31:41",0,"Ben kualat beacukai imigrasi sak kantore","http://www.youtube.com/@MuchlasBagus-ei1zb",
306,"@j2primepluss631","Makanya petugas bea cukai kaya raya tdk mikir org kecil....","UgyOuJh7VW04ePQul4V4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgyOuJh7VW04ePQul4V4AaABAg","2024-04-29 10:31:03",0,"Makanya petugas bea cukai kaya raya tdk mikir org kecil....","http://www.youtube.com/@j2primepluss631",
307,"@kavtech_midi","Birokrasi disini memua*an...","Ugx7u3HZ-Tpa3u0MVWV4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=Ugx7u3HZ-Tpa3u0MVWV4AaABAg","2024-04-29 10:30:56",0,"Birokrasi disini memua*an...","http://www.youtube.com/@kavtech_midi",
308,"@ToniAgustian","parah masalah etik di negri ini... terlalu banyak pemuja cuan.","Ugyr3HpHOkG3-Ow4hml4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=Ugyr3HpHOkG3-Ow4hml4AaABAg","2024-04-29 10:30:38",0,"parah masalah etik di negri ini... terlalu banyak pemuja cuan.","http://www.youtube.com/@ToniAgustian",
309,"@hilwyasukarmadidja328","Kemiskinan tetap tinggi bila korupsi dibiarkan meraja Lela 😢","UgwTN_PfegX386pmoTZ4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgwTN_PfegX386pmoTZ4AaABAg","2024-04-29 10:30:28",0,"Kemiskinan tetap tinggi bila korupsi dibiarkan meraja Lela 😢","http://www.youtube.com/@hilwyasukarmadidja328",
310,"@Pipinrosyadi69","Alat slb pun di makannya juga.srimulyani bukan saja turun gunung tp langsung tangkap pelaku yg meminta tagihan alat slb.bukan memberi dongeng.","UgwrZeJb3yluFFFQ-vt4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgwrZeJb3yluFFFQ-vt4AaABAg","2024-04-29 10:30:18",0,"Alat slb pun di makannya juga.srimulyani bukan saja turun gunung tp langsung tangkap pelaku yg meminta tagihan alat slb.bukan memberi dongeng.","http://www.youtube.com/@Pipinrosyadi69",
311,"@umarbinkattab2241","Pungli di Indonesia sih bnr2 dah gila, gak menurun. Tapi makin menggila","UgzG6OytSwGT-WkOY4B4AaABAg","",1,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgzG6OytSwGT-WkOY4B4AaABAg","2024-04-29 10:29:47",0,"Pungli di Indonesia sih bnr2 dah gila, gak menurun. Tapi makin menggila","http://www.youtube.com/@umarbinkattab2241",
312,"@radianrusli-vp1ev","Sikat semua ngak pandang buluh..😂😁","UgzNSXenQFyq0uCRuXZ4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgzNSXenQFyq0uCRuXZ4AaABAg","2024-04-29 10:28:58",0,"Sikat semua ngak pandang buluh..😂😁","http://www.youtube.com/@radianrusli-vp1ev",
313,"@yukio9723","Emang nih institusi udah rusak/bobrok. Ga ada gunanya","Ugxs806VT-8E3PCjvnl4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=Ugxs806VT-8E3PCjvnl4AaABAg","2024-04-29 10:28:58",0,"Emang nih institusi udah rusak/bobrok. Ga ada gunanya","http://www.youtube.com/@yukio9723",
314,"@yogid1854","Pantesan oknum2 pejabat bea cukai kaya2. Kayaknya KPK harus cek harta mereka deh. Kalo ga gitu kasian orang beli produk dari luar negeri diperas. Kayak SLB beli produk buat belajar diperas ratusan juta.","UgzeTeBBFPgoq4vPUqp4AaABAg","",1,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgzeTeBBFPgoq4vPUqp4AaABAg","2024-04-29 10:28:55",1,"Pantesan oknum2 pejabat bea cukai kaya2. Kayaknya KPK harus cek harta mereka deh. Kalo ga gitu kasian orang beli produk dari luar negeri diperas. Kayak SLB beli produk buat belajar diperas ratusan juta.","http://www.youtube.com/@yogid1854",
315,"@Luke7L","Hartanya diumpetin, ada yg dipendem ditanah, ada yang dicor semen","UgzeTeBBFPgoq4vPUqp4AaABAg.A2opO6hjrBTA2oqJStQ5To","@yogid1854",2,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgzeTeBBFPgoq4vPUqp4AaABAg.A2opO6hjrBTA2oqJStQ5To","2024-04-29 10:37:01",0,"Hartanya diumpetin, ada yg dipendem ditanah, ada yang dicor semen","http://www.youtube.com/@Luke7L",
316,"@RoulandTasik","Cape lihat sepak terjang bea cukai, ada saja oknum yg mencari celah untuk ngelaba (sulit cari yg amanah).. !!!😢😮😢😂","UgzAISGDaN06vtUflqd4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgzAISGDaN06vtUflqd4AaABAg","2024-04-29 10:28:52",0,"Cape lihat sepak terjang bea cukai, ada saja oknum yg mencari celah untuk ngelaba (sulit cari yg amanah).. !!!😢😮😢😂","http://www.youtube.com/@RoulandTasik",
