id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
179,"@johannasiregar5055","Viralin terus !!!","UgzfOio3-E-YIFjLPuF4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgzfOio3-E-YIFjLPuF4AaABAg","2024-04-30 04:18:00",0,"Viralin terus !!!","http://www.youtube.com/@johannasiregar5055",
180,"@nofrisaputraa","Sudah miskin bener nih wakanda hingga harus memeras warganya untuk dapat setoran lebih. Pajak dinaikin, koruptor bebas merajalela dimana mana, sumber daya alam di keruk dengan luar biasa tapi kita hanya dapat ampasnya, dagingnya dimakan sama china. Bener2 edan dah pejabat2 negeri ini dalam bernegara","Ugx3v4HxtRzvTtH0mN14AaABAg","",1,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=Ugx3v4HxtRzvTtH0mN14AaABAg","2024-04-30 04:15:27",0,"Sudah miskin bener nih wakanda hingga harus memeras warganya untuk dapat setoran lebih. Pajak dinaikin, koruptor bebas merajalela dimana mana, sumber daya alam di keruk dengan luar biasa tapi kita hanya dapat ampasnya, dagingnya dimakan sama china. Bener2 edan dah pejabat2 negeri ini dalam bernegara","http://www.youtube.com/@nofrisaputraa",
181,"@haremking4779","Viral baru di urusin tai","Ugxy4TXiSH5giKF4Dvx4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=Ugxy4TXiSH5giKF4Dvx4AaABAg","2024-04-30 04:09:55",0,"Viral baru di urusin tai","http://www.youtube.com/@haremking4779",
182,"@GTZ.77","aturanya yg di atur bkn keluhan yg di koreksi..aneh2 aja lu sri..","Ugwyi9KmRZc556MjHuJ4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=Ugwyi9KmRZc556MjHuJ4AaABAg","2024-04-30 04:05:55",0,"aturanya yg di atur bkn keluhan yg di koreksi..aneh2 aja lu sri..","http://www.youtube.com/@GTZ.77",
183,"@umarbinkattab2241","Dipermudah ( X ) Diperaulit ( √ ) Kerja cerdas ( X ) Kerja tolol ( √ )","Ugzjdq-IcswJIHeuiax4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=Ugzjdq-IcswJIHeuiax4AaABAg","2024-04-30 03:53:02",0,"Dipermudah ( X ) Diperaulit ( √ ) Kerja cerdas ( X ) Kerja tolol ( √ )","http://www.youtube.com/@umarbinkattab2241",
184,"@superIZZY","Sebener nya BC mahal itu biar kita kapok beli2 barang luar, biar kita beli produk dalam negri aja gitu. masalahnya gak semua yg kita butuhkan ada di dalam negri😢.","UgxhoFF4GTy7HvWJA6F4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgxhoFF4GTy7HvWJA6F4AaABAg","2024-04-30 03:40:49",0,"Sebener nya BC mahal itu biar kita kapok beli2 barang luar, biar kita beli produk dalam negri aja gitu. masalahnya gak semua yg kita butuhkan ada di dalam negri😢.","http://www.youtube.com/@superIZZY",
185,"@subarjo9636","cukai goblok..","UgxDDCq1cjIqE43iVl14AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgxDDCq1cjIqE43iVl14AaABAg","2024-04-30 03:35:22",0,"cukai goblok..","http://www.youtube.com/@subarjo9636",
186,"@thefriend1435","😂😂 banyak pajak untuk bangun ikn","UgyTBrwy1DJVxNfQB3h4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgyTBrwy1DJVxNfQB3h4AaABAg","2024-04-30 03:22:52",0,"😂😂 banyak pajak untuk bangun ikn","http://www.youtube.com/@thefriend1435",
187,"@suryamuhammad1159","Komplotan maling berseragam,,,","UgyTMymv8tfW5sD9VtF4AaABAg","",1,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgyTMymv8tfW5sD9VtF4AaABAg","2024-04-30 03:21:19",0,"Komplotan maling berseragam,,,","http://www.youtube.com/@suryamuhammad1159",
188,"@YadLose","Pada kaya bea cukai,wow pajak nya besar sekali hebatnya bea cukai di indo","UgzjS0v9onq_ClPvr2p4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgzjS0v9onq_ClPvr2p4AaABAg","2024-04-30 03:13:02",0,"Pada kaya bea cukai,wow pajak nya besar sekali hebatnya bea cukai di indo","http://www.youtube.com/@YadLose",
